SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016
40,1,0,0,0,0,0,A,Alabama,Alabama,4779736,4780131,4785492,4799918,4815960,4829479,4843214,4853875,4863300
40,2,0,0,0,0,0,A,Alaska,Alaska,710231,710249,714031,722713,731089,736879,736705,737709,741894
40,4,0,0,0,0,0,A,Arizona,Arizona,6392017,6392301,6408312,6467163,6549634,6624617,6719993,6817565,6931071
40,5,0,0,0,0,0,A,Arkansas,Arkansas,2915918,2916025,2921995,2939493,2950685,2958663,2966912,2977853,2988248
40,6,0,0,0,0,0,A,California,California,37253956,37254522,37332685,37676861,38011074,38335203,38680810,38993940,39250017
40,8,0,0,0,0,0,A,Colorado,Colorado,5029196,5029324,5048644,5118360,5189867,5267603,5349648,5448819,5540545
40,9,0,0,0,0,0,A,Connecticut,Connecticut,3574097,3574114,3579899,3589893,3593795,3596003,3591873,3584730,3576452
40,10,0,0,0,0,0,A,Delaware,Delaware,897934,897936,899816,907924,916993,925395,934948,944076,952065
40,11,0,0,0,0,0,A,District of Columbia,District of Columbia,601723,601766,605183,620477,635327,649165,659005,670377,681170
40,12,0,0,0,0,0,A,Florida,Florida,18801310,18804592,18849098,19096952,19344156,19582022,19888741,20244914,20612439
40,13,0,0,0,0,0,A,Georgia,Georgia,9687653,9688680,9713521,9811610,9914668,9984938,10087231,10199398,10310371
40,15,0,0,0,0,0,A,Hawaii,Hawaii,1360301,1360301,1363945,1377864,1391820,1406481,1416349,1425157,1428557
40,16,0,0,0,0,0,A,Idaho,Idaho,1567582,1567650,1571010,1584143,1595911,1612011,1633532,1652828,1683140
40,17,0,0,0,0,0,A,Illinois,Illinois,12830632,12831574,12841578,12860012,12870798,12879505,12867544,12839047,12801539
40,18,0,0,0,0,0,A,Indiana,Indiana,6483802,6484136,6490528,6516480,6537743,6569102,6595233,6612768,6633053
40,19,0,0,0,0,0,A,Iowa,Iowa,3046355,3046869,3050738,3065223,3076310,3091930,3108030,3121997,3134693
40,20,0,0,0,0,0,A,Kansas,Kansas,2853118,2853129,2858850,2869503,2885262,2892821,2899360,2906721,2907289
40,21,0,0,0,0,0,A,Kentucky,Kentucky,4339367,4339344,4348662,4369354,4384799,4400477,4413057,4424611,4436974
40,22,0,0,0,0,0,A,Louisiana,Louisiana,4533372,4533479,4544996,4575404,4603429,4626402,4647880,4668960,4681666
40,23,0,0,0,0,0,A,Maine,Maine,1328361,1328364,1327730,1328231,1328895,1329076,1330719,1329453,1331479
40,24,0,0,0,0,0,A,Maryland,Maryland,5773552,5773786,5788584,5843603,5889651,5931129,5967295,5994983,6016447
40,25,0,0,0,0,0,A,Massachusetts,Massachusetts,6547629,6547813,6565524,6611923,6658008,6706786,6749911,6784240,6811779
40,26,0,0,0,0,0,A,Michigan,Michigan,9883640,9884129,9877495,9876213,9887238,9898982,9915767,9917715,9928300
40,27,0,0,0,0,0,A,Minnesota,Minnesota,5303925,5303924,5311147,5348562,5380285,5418521,5453109,5482435,5519952
40,28,0,0,0,0,0,A,Mississippi,Mississippi,2967297,2968103,2970322,2978162,2984945,2990482,2992400,2989390,2988726
40,29,0,0,0,0,0,A,Missouri,Missouri,5988927,5988928,5996118,6010717,6025415,6042711,6060930,6076204,6093000
40,30,0,0,0,0,0,A,Montana,Montana,989415,989414,990641,997821,1005196,1014314,1022867,1032073,1042520
40,31,0,0,0,0,0,A,Nebraska,Nebraska,1826341,1826334,1830051,1842283,1855725,1868559,1881145,1893765,1907116
40,32,0,0,0,0,0,A,Nevada,Nevada,2700551,2700691,2703284,2718379,2752565,2786464,2833013,2883758,2940058
40,33,0,0,0,0,0,A,New Hampshire,New Hampshire,1316470,1316461,1316872,1318473,1321182,1322687,1328743,1330111,1334795
40,34,0,0,0,0,0,A,New Jersey,New Jersey,8791894,8791953,8803729,8841243,8873211,8899162,8925001,8935421,8944469
40,35,0,0,0,0,0,A,New Mexico,New Mexico,2059179,2059198,2064756,2077756,2083784,2085193,2083024,2080328,2081015
40,36,0,0,0,0,0,A,New York,New York,19378102,19378110,19402640,19519529,19602769,19673546,19718515,19747183,19745289
40,37,0,0,0,0,0,A,North Carolina,North Carolina,9535483,9535688,9558915,9650963,9746175,9841590,9934399,10035186,10146788
40,38,0,0,0,0,0,A,North Dakota,North Dakota,672591,672591,674526,685476,702087,724019,739904,756835,757952
40,39,0,0,0,0,0,A,Ohio,Ohio,11536504,11536727,11540983,11544824,11550839,11570022,11594408,11605090,11614373
40,40,0,0,0,0,0,A,Oklahoma,Oklahoma,3751351,3751615,3759603,3786274,3817054,3852415,3877499,3907414,3923561
40,41,0,0,0,0,0,A,Oregon,Oregon,3831074,3831072,3838048,3868031,3899116,3925751,3968371,4024634,4093465
40,42,0,0,0,0,0,A,Pennsylvania,Pennsylvania,12702379,12702857,12712343,12744293,12771854,12781338,12790565,12791904,12784227
40,44,0,0,0,0,0,A,Rhode Island,Rhode Island,1052567,1052940,1053337,1052451,1052901,1053033,1054480,1055607,1056426
40,45,0,0,0,0,0,A,South Carolina,South Carolina,4625364,4625410,4635943,4672637,4720760,4767894,4828430,4894834,4961119
40,46,0,0,0,0,0,A,South Dakota,South Dakota,814180,814195,816325,824398,834441,844922,852561,857919,865454
40,47,0,0,0,0,0,A,Tennessee,Tennessee,6346105,6346298,6356671,6397634,6454306,6494821,6544663,6595056,6651194
40,48,0,0,0,0,0,A,Texas,Texas,25145561,25146100,25244310,25646389,26071655,26473525,26944751,27429639,27862596
40,49,0,0,0,0,0,A,Utah,Utah,2763885,2763888,2775326,2816124,2855782,2902663,2941836,2990632,3051217
40,50,0,0,0,0,0,A,Vermont,Vermont,625741,625741,625982,626730,626444,627140,626984,626088,624594
40,51,0,0,0,0,0,A,Virginia,Virginia,8001024,8001041,8025773,8110035,8192048,8262692,8317372,8367587,8411808
40,53,0,0,0,0,0,A,Washington,Washington,6724540,6724545,6743226,6822520,6895226,6968006,7054196,7160290,7288000
40,54,0,0,0,0,0,A,West Virginia,West Virginia,1852994,1853011,1854230,1854972,1856560,1853231,1848514,1841053,1831102
40,55,0,0,0,0,0,A,Wisconsin,Wisconsin,5686986,5687289,5690263,5709640,5726177,5742854,5758377,5767891,5778708
40,56,0,0,0,0,0,A,Wyoming,Wyoming,563626,563767,564513,567725,576765,582684,583642,586555,585501